listings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host_response_rate,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
100%,12,12,100022,39.89502976848909,116.45163474951819,9,2,3,4,1464,$ 808.00,"$ 8,098.00","$ 26,697.00",$ 685.00,$ 68.00,7,$ 68.00,1,365,8,28,53,319,80,92,9,9,10,9,9,9,strict_14_with_grace_period,12,0.82
0%,4,4,101508,40.684339773298746,117.17231304361256,2,1,1,1,,"$ 1,198.00","$ 7,200.00","$ 28,800.00",$ 0.00,$ 0.00,1,$ 0.00,1,30,0,0,0,0,2,100,10,9,10,10,9,9,strict_14_with_grace_period,4,0.16
100%,1,1,,39.93212988040019,116.42199836724964,3,1,1,1,323,$ 397.00,"$ 3,080.00",,,,2,$ 68.00,3,365,9,11,41,41,255,97,10,9,10,10,10,10,strict_14_with_grace_period,1,2.87
100%,4,4,100027,39.93356634823392,116.43576522314964,2,1,1,1,,$ 383.00,"$ 3,354.00","$ 10,952.00",,,1,$ 0.00,1,365,0,12,42,317,26,77,8,7,9,9,9,8,strict_14_with_grace_period,4,0.3
100%,4,4,100027,39.93668031958748,116.43798480483846,4,1,1,2,0,$ 548.00,"$ 3,833.00","$ 10,952.00",,,1,$ 0.00,1,365,19,35,65,340,37,87,8,7,9,9,9,9,strict_14_with_grace_period,4,0.44
96%,8,8,100027,39.939584842819954,116.43484518524484,2,1,1,1,,$ 390.00,$ 445.00,"$ 1,750.00",$ 700.00,$ 0.00,2,$ 64.00,1,365,17,47,77,352,23,82,8,8,8,8,9,8,moderate,8,0.29
100%,1,1,100027,39.937118416177206,116.45088803639595,4,2,2,3,,$ 650.00,"$ 4,723.00",,$ 0.00,$ 274.00,2,$ 0.00,3,90,17,46,76,163,99,98,10,10,10,10,10,10,moderate,1,1.27
96%,8,8,100027,39.93943126799599,116.43362379135992,2,1,1,1,,$ 397.00,$ 450.00,"$ 1,760.00",$ 954.00,$ 0.00,2,$ 64.00,1,1125,21,51,81,356,28,83,8,8,8,8,9,9,moderate,8,0.39
96%,8,8,100027,39.939463270450815,116.43544528913378,2,,1,1,,$ 548.00,$ 620.00,"$ 2,300.00",$ 951.00,$ 0.00,2,$ 63.00,1,1125,14,44,74,349,3,60,7,7,5,7,8,7,flexible,8,0.05
100%,12,12,100022,39.893952182567986,116.45049557506522,7,1,2,3,1076,$ 685.00,"$ 7,188.00","$ 23,568.00",$ 685.00,$ 68.00,5,$ 68.00,1,365,10,39,69,344,12,82,8,9,8,9,9,8,strict_14_with_grace_period,12,0.23
100%,12,12,100022,39.894033978276674,116.44895697179665,3,1,1,1,,$ 876.00,"$ 5,271.00","$ 17,250.00",$ 876.00,,1,$ 68.00,1,365,28,57,87,362,4,95,10,10,10,10,9,9,strict_14_with_grace_period,12,0.07
100%,1,1,100010,39.91341579419986,116.4183743332568,6,1,2,2,,$ 924.00,"$ 6,161.00","$ 20,536.00",$ 924.00,$ 123.00,4,$ 103.00,1,1825,6,19,49,307,139,97,10,10,10,10,10,10,strict_14_with_grace_period,1,1.81
100%,4,4,100027,39.93516229736818,116.43681886410984,2,1,1,1,,$ 383.00,"$ 3,354.00","$ 10,952.00",,,1,$ 0.00,1,1125,0,12,42,317,4,75,7,9,8,9,8,8,strict_14_with_grace_period,4,0.07
100%,7,7,,39.92381754633421,116.37009456158268,2,1,1,1,0,$ 582.00,"$ 4,200.00","$ 18,000.00",,,3,$ 0.00,1,365,20,50,80,344,31,95,9,10,9,10,9,9,strict_14_with_grace_period,7,0.51
100%,7,7,100034,39.92411678696425,116.37062799283908,14,7,7,7,,"$ 6,003.00","$ 42,000.00","$ 150,000.00",,,1,$ 0.00,1,365,18,48,78,342,10,98,9,10,9,10,9,9,strict_14_with_grace_period,7,0.15
100%,7,7,,39.92417432065009,116.3704064301216,2,1,1,1,,$ 582.00,"$ 3,220.00","$ 12,880.00",,,3,$ 0.00,1,365,23,53,83,347,56,93,10,9,10,10,9,9,strict_14_with_grace_period,7,0.76
N/A,1,1,,39.94956490297442,116.34887154464538,1,2,1,1,,$ 404.00,"$ 2,738.00",,,,1,$ 0.00,1,1125,24,48,72,305,1,94,10,10,6,10,10,10,flexible,1,0.01
60%,7,7,100022,39.901325511618815,116.48153597231847,2,1,1,1,55,$ 431.00,"$ 2,388.00","$ 7,800.00","$ 1,000.00",,1,$ 0.00,2,1125,29,59,89,364,7,91,9,10,10,10,10,10,moderate,7,0.19
100%,1,1,100000,39.85983063769134,116.38919789577045,2,1,1,1,,$ 308.00,"$ 1,670.00","$ 5,894.00","$ 3,423.00",$ 68.00,2,$ 0.00,12,500,14,44,74,93,22,98,10,10,10,10,9,10,strict_14_with_grace_period,1,0.32
100%,1,1,101319,39.94612035264827,116.34326285385538,7,2,3,3,,"$ 1,704.00",,,,$ 137.00,1,$ 0.00,2,365,12,42,72,162,66,97,10,9,10,10,9,10,moderate,1,0.95
60%,7,7,100124,39.898541833836305,116.4833844195074,2,1,1,1,,$ 356.00,"$ 2,380.00","$ 7,800.00","$ 1,000.00",,1,$ 0.00,3,1125,29,59,89,364,2,100,10,10,10,10,9,10,moderate,7,0.05
100%,4,4,100009,39.93900003717762,116.39129294158535,2,1,1,2,,$ 267.00,,,,,1,$ 96.00,1,30,8,35,59,239,113,99,10,10,10,10,10,10,flexible,4,1.66
100%,4,4,100009,39.939227817990144,116.39093533587315,1,1,1,1,,$ 240.00,"$ 1,506.00","$ 4,449.00",,,1,$ 0.00,2,30,5,32,62,337,108,99,10,10,10,10,10,10,flexible,4,1.57
100%,4,4,100009,39.93946149448575,116.39160534439918,2,0.5,1,2,,$ 219.00,,,,,1,$ 96.00,2,30,2,19,42,317,175,99,10,10,10,10,10,10,flexible,4,2.56
0%,4,4,101508,40.686017440209014,117.17304176774,2,1,1,2,,$ 678.00,"$ 4,500.00","$ 18,000.00",$ 0.00,$ 0.00,4,$ 0.00,1,30,0,0,0,0,4,100,10,10,10,10,10,10,moderate,4,0.23
100%,2,2,100009,39.946321159926086,116.3926547116444,4,1,1,2,0,$ 678.00,"$ 26,354.00","$ 82,143.00",,$ 274.00,2,$ 342.00,3,1125,0,0,0,256,12,98,10,10,10,10,10,9,moderate,2,0.19
100%,2,2,101318,40.1044010527953,116.54955227040183,3,1.5,1,1,,$ 623.00,"$ 3,900.00","$ 15,500.00",,,1,$ 300.00,1,365,30,60,90,365,0,,,,,,,,moderate,2,
100%,6,6,100007,39.93994196909735,116.42344644231447,2,1,1,1,,$ 486.00,"$ 3,000.00","$ 11,000.00",$ 635.00,$ 35.00,2,$ 0.00,1,90,0,11,11,81,96,94,9,9,9,10,10,9,moderate,5,1.48
96%,8,8,100027,39.93794530452153,116.43539029392659,2,1,1,1,603,$ 561.00,$ 620.00,"$ 2,300.00",$ 700.00,$ 0.00,2,$ 64.00,1,1125,14,44,74,349,19,91,9,9,9,9,10,9,flexible,8,0.29
100%,2,2,100022,39.90365795292596,116.43564455112588,4,1,2,3,980,$ 705.00,$ 669.00,"$ 2,599.00",$ 700.00,$ 0.00,3,$ 100.00,1,1125,14,44,74,349,190,96,10,9,10,10,9,10,moderate,2,2.92
100%,1,1,100143,39.92636858744942,116.25927161629254,2,2,1,1,1507,$ 192.00,,,$ 0.00,$ 34.00,1,$ 34.00,1,1125,10,40,70,160,74,98,10,10,10,10,9,10,flexible,1,1.18
100%,6,6,100020,39.917309923365714,116.4547929476867,4,2,2,2,,$ 972.00,,,"$ 3,308.00",$ 562.00,4,$ 265.00,1,1125,0,0,0,136,33,97,10,10,10,10,10,10,strict_14_with_grace_period,3,1.09
100%,6,6,100010,39.91900544495607,116.41932144224668,8,4,1,8,,$ 500.00,,,"$ 2,000.00",,1,$ 400.00,1,1125,29,59,89,364,8,95,9,10,10,9,9,9,strict_14_with_grace_period,5,0.24
100%,6,6,100010,39.92155154911091,116.42246639211136,2,1,1,1,,$ 137.00,,,$ 866.00,$ 41.00,1,$ 0.00,1,1125,30,60,90,365,12,90,10,10,10,10,10,9,strict_14_with_grace_period,5,0.58
100%,6,6,100010,39.92079614866441,116.42047480313381,2,1,1,1,,$ 507.00,,,$ 623.00,$ 40.00,2,$ 380.00,1,360,30,60,90,365,36,94,10,10,9,10,10,9,moderate,5,0.63
100%,4,4,100010,39.9208778825935,116.42236121046983,2,1,1,1,0,$ 596.00,"$ 4,186.00","$ 16,800.00",,,1,$ 0.00,1,60,24,54,84,359,1,100,6,10,10,10,8,10,strict_14_with_grace_period,4,0.13
100%,1,1,100020,39.91923733839457,116.44387496207139,2,1,1,1,,$ 445.00,"$ 2,978.00","$ 10,952.00",$ 685.00,$ 68.00,1,$ 68.00,2,1125,7,37,67,342,82,94,9,9,10,10,10,9,moderate,1,1.34
100%,12,12,100022,39.8948460001691,116.45172340451599,9,2,3,4,,$ 876.00,"$ 8,098.00","$ 26,697.00",$ 685.00,$ 68.00,7,$ 68.00,1,365,16,36,61,334,35,87,9,9,9,9,9,9,strict_14_with_grace_period,12,0.58
100%,12,12,100022,39.8950361527221,116.45130836005768,11,2,3,5,,$ 753.00,"$ 8,098.00","$ 26,697.00",$ 685.00,$ 68.00,8,$ 68.00,1,365,14,28,48,291,46,94,10,9,10,10,9,10,moderate,12,0.78
98%,8,8,100015,39.99380561785098,116.49935917909819,1,0.5,1,1,,$ 240.00,,,,,1,$ 50.00,2,1125,30,60,90,365,23,89,9,9,9,10,9,9,moderate,7,0.36
100%,4,4,100010,39.920617311128865,116.42054162151199,2,1,1,2,377,$ 712.00,"$ 5,040.00","$ 21,000.00",,,1,$ 0.00,1,60,26,56,86,361,2,60,8,8,10,8,8,6,strict_14_with_grace_period,4,0.07
100%,4,4,100010,39.92051041016441,116.42229389781784,2,1,1,1,,$ 979.00,"$ 4,000.00","$ 16,000.00",,,1,$ 0.00,1,60,19,49,79,354,2,70,7,7,8,8,8,7,strict_14_with_grace_period,4,0.05
100%,4,4,100010,39.92103884182935,116.42077802253125,3,1,1,1,,"$ 1,157.00","$ 8,260.00","$ 35,000.00",,,1,$ 0.00,1,60,22,52,82,357,1,80,8,10,10,8,6,6,strict_14_with_grace_period,4,0.07
98%,8,8,100015,39.99211581970939,116.49869630358387,2,1,1,1,,$ 267.00,,,,,1,$ 0.00,2,1125,26,56,86,361,15,84,8,8,9,9,9,8,moderate,7,0.25
70%,1,1,102488,39.75601047511235,116.21240431264542,2,1,1,1,,$ 62.00,$ 450.00,"$ 2,000.00",,,1,$ 0.00,3,30,17,47,77,77,21,87,10,9,10,10,8,10,flexible,1,0.39
17%,1,1,100041,39.929690651456774,116.18900956350464,3,1,1,1,,$ 110.00,,,,,1,$ 0.00,1,1125,0,12,42,281,1,100,10,10,,10,,,flexible,1,0.04
